,0
0,10대 :
1,"['설리', '스파이더맨 3', '호날두 코로나', '호날두', '디어엠', '박혜수', '김선아', '김새론', '아이폰 12 pro', '해뜨락요양병원', '고등학생 독감 무료접종', '2020 9월 모의고사', '갬성캠핑', '동아방송예술대학교', '명지전문대', '앤드류 가필드', '토비 맥과이어', '도경수', '가천대학교', '부산 코로나']"
2,20대 :
3,"['아이폰 12 pro', '김선아', '해뜨락요양병원', '디어엠', '박혜수', '호날두', '스파이더맨 3', '김새론', '호날두 코로나', '설리', '한솔홈데코', '부산 코로나', '갬성캠핑', '정의선', '돌아와요 아저씨', '부산해뜨락요양병원', '윤상훈', '배럴', '아이폰 12 가격', '아이폰 12 사전예약']"
4,30대 :
5,"['해뜨락요양병원', '정의선', '한솔홈데코', '김선아', '갬성캠핑', '윤상훈', '2020년 신혼부부 특별공급 조건', '아이폰 12 pro', '이단비', '호날두', '박승재', '호날두 코로나', '돌아와요 아저씨', '박혜수', '부산해뜨락요양병원', '박지웅', '10월 14일', 'kc코트렐', '박근형', '부산 코로나']"
6,40대 :
7,"['해뜨락요양병원', '정의선', '윤상훈', '박승재', '한솔홈데코', '갬성캠핑', '부산해뜨락요양병원', '박근형 손자', '박지웅', '이단비', '김선아', '부산 코로나 확진자', '박근형', '정몽구', '부산 만덕 코로나', '국영지앤엠', '박지웅대표', '안영미 남편', 'kc코트렐', '에바']"
8,50대 :
9,"['해뜨락요양병원', '정의선', '윤상훈', '박승재', '부산해뜨락요양병원', '한솔홈데코', '정몽구', '김선동', '전우용', '박선주', '갬성캠핑', '박지웅', '국영지앤엠', '부산 코로나 확진자', '부산 만덕 코로나', '박지웅대표', '이단비', '로또싱어', '서전기전', '옵티머스사건']"
10,전체 :
11,"['해뜨락요양병원', '정의선', '김선아', '한솔홈데코', '윤상훈', '갬성캠핑', '아이폰 12 pro', '박승재', '호날두', '박혜수', '호날두 코로나', '부산해뜨락요양병원', '디어엠', '설리', '김새론', '이단비', '스파이더맨 3', '박지웅', '박근형', '돌아와요 아저씨']"
